PART,ARCH,FULLARCH,FAMILY,IDCODE,DEVICE
xc7vx485tffg1157-1,virtex7,Virtex-7,virtex7,0x03687093,xc7vx485t
xc7vx485tffg1157-2,virtex7,Virtex-7,virtex7,0x03687093,xc7vx485t
xc7vx485tffg1157-2L,virtex7,Virtex-7,virtex7,0x03687093,xc7vx485t
xc7vx485tffg1157-3,virtex7,Virtex-7,virtex7,0x03687093,xc7vx485t
xc7vx485tffg1158-1,virtex7,Virtex-7,virtex7,0x03687093,xc7vx485t
xc7vx485tffg1158-2,virtex7,Virtex-7,virtex7,0x03687093,xc7vx485t
xc7vx485tffg1158-2L,virtex7,Virtex-7,virtex7,0x03687093,xc7vx485t
xc7vx485tffg1158-3,virtex7,Virtex-7,virtex7,0x03687093,xc7vx485t
xc7vx485tffg1761-1,virtex7,Virtex-7,virtex7,0x03687093,xc7vx485t
xc7vx485tffg1761-2,virtex7,Virtex-7,virtex7,0x03687093,xc7vx485t
xc7vx485tffg1761-2L,virtex7,Virtex-7,virtex7,0x03687093,xc7vx485t
xc7vx485tffg1761-3,virtex7,Virtex-7,virtex7,0x03687093,xc7vx485t
xc7vx485tffg1927-1,virtex7,Virtex-7,virtex7,0x03687093,xc7vx485t
xc7vx485tffg1927-2,virtex7,Virtex-7,virtex7,0x03687093,xc7vx485t
xc7vx485tffg1927-2L,virtex7,Virtex-7,virtex7,0x03687093,xc7vx485t
xc7vx485tffg1927-3,virtex7,Virtex-7,virtex7,0x03687093,xc7vx485t
xc7vx485tffg1930-1,virtex7,Virtex-7,virtex7,0x03687093,xc7vx485t
xc7vx485tffg1930-2,virtex7,Virtex-7,virtex7,0x03687093,xc7vx485t
xc7vx485tffg1930-2L,virtex7,Virtex-7,virtex7,0x03687093,xc7vx485t
xc7vx485tffg1930-3,virtex7,Virtex-7,virtex7,0x03687093,xc7vx485t
xc7vx330tffg1157-1,virtex7,Virtex-7,virtex7,0x03667093,xc7vx330t
xc7vx330tffg1157-2,virtex7,Virtex-7,virtex7,0x03667093,xc7vx330t
xc7vx330tffg1157-2L,virtex7,Virtex-7,virtex7,0x03667093,xc7vx330t
xc7vx330tffg1157-3,virtex7,Virtex-7,virtex7,0x03667093,xc7vx330t
xc7vx330tffg1761-1,virtex7,Virtex-7,virtex7,0x03667093,xc7vx330t
xc7vx330tffg1761-2,virtex7,Virtex-7,virtex7,0x03667093,xc7vx330t
xc7vx330tffg1761-2L,virtex7,Virtex-7,virtex7,0x03667093,xc7vx330t
xc7vx330tffg1761-3,virtex7,Virtex-7,virtex7,0x03667093,xc7vx330t
xc7vx330tffv1157-1,virtex7,Virtex-7,virtex7,0x03667093,xc7vx330t
xc7vx330tffv1157-2,virtex7,Virtex-7,virtex7,0x03667093,xc7vx330t
xc7vx330tffv1157-2L,virtex7,Virtex-7,virtex7,0x03667093,xc7vx330t
xc7vx330tffv1157-3,virtex7,Virtex-7,virtex7,0x03667093,xc7vx330t
xc7vx330tffv1761-1,virtex7,Virtex-7,virtex7,0x03667093,xc7vx330t
xc7vx330tffv1761-2,virtex7,Virtex-7,virtex7,0x03667093,xc7vx330t
xc7vx330tffv1761-2L,virtex7,Virtex-7,virtex7,0x03667093,xc7vx330t
xc7vx330tffv1761-3,virtex7,Virtex-7,virtex7,0x03667093,xc7vx330t
xc7vx415tffg1157-1,virtex7,Virtex-7,virtex7,0x03682093,xc7vx415t
xc7vx415tffg1157-2,virtex7,Virtex-7,virtex7,0x03682093,xc7vx415t
xc7vx415tffg1157-2L,virtex7,Virtex-7,virtex7,0x03682093,xc7vx415t
xc7vx415tffg1157-3,virtex7,Virtex-7,virtex7,0x03682093,xc7vx415t
xc7vx415tffg1158-1,virtex7,Virtex-7,virtex7,0x03682093,xc7vx415t
xc7vx415tffg1158-2,virtex7,Virtex-7,virtex7,0x03682093,xc7vx415t
xc7vx415tffg1158-2L,virtex7,Virtex-7,virtex7,0x03682093,xc7vx415t
xc7vx415tffg1158-3,virtex7,Virtex-7,virtex7,0x03682093,xc7vx415t
xc7vx415tffg1927-1,virtex7,Virtex-7,virtex7,0x03682093,xc7vx415t
xc7vx415tffg1927-2,virtex7,Virtex-7,virtex7,0x03682093,xc7vx415t
xc7vx415tffg1927-2L,virtex7,Virtex-7,virtex7,0x03682093,xc7vx415t
xc7vx415tffg1927-3,virtex7,Virtex-7,virtex7,0x03682093,xc7vx415t
xc7vx415tffv1157-1,virtex7,Virtex-7,virtex7,0x03682093,xc7vx415t
xc7vx415tffv1157-2,virtex7,Virtex-7,virtex7,0x03682093,xc7vx415t
xc7vx415tffv1157-2L,virtex7,Virtex-7,virtex7,0x03682093,xc7vx415t
xc7vx415tffv1157-3,virtex7,Virtex-7,virtex7,0x03682093,xc7vx415t
xc7vx415tffv1158-1,virtex7,Virtex-7,virtex7,0x03682093,xc7vx415t
xc7vx415tffv1158-2,virtex7,Virtex-7,virtex7,0x03682093,xc7vx415t
xc7vx415tffv1158-2L,virtex7,Virtex-7,virtex7,0x03682093,xc7vx415t
xc7vx415tffv1158-3,virtex7,Virtex-7,virtex7,0x03682093,xc7vx415t
xc7vx415tffv1927-1,virtex7,Virtex-7,virtex7,0x03682093,xc7vx415t
xc7vx415tffv1927-2,virtex7,Virtex-7,virtex7,0x03682093,xc7vx415t
xc7vx415tffv1927-2L,virtex7,Virtex-7,virtex7,0x03682093,xc7vx415t
xc7vx415tffv1927-3,virtex7,Virtex-7,virtex7,0x03682093,xc7vx415t
xc7vx415t_CIVffg1157-2,virtex7,Virtex-7,virtex7,0x03685093,xc7vx415t_CIV
xc7vx415t_CIVffg1157-2L,virtex7,Virtex-7,virtex7,0x03685093,xc7vx415t_CIV
xc7vx415t_CIVffg1157-3,virtex7,Virtex-7,virtex7,0x03685093,xc7vx415t_CIV
xc7vx415t_CIVffg1158-2,virtex7,Virtex-7,virtex7,0x03685093,xc7vx415t_CIV
xc7vx415t_CIVffg1158-2L,virtex7,Virtex-7,virtex7,0x03685093,xc7vx415t_CIV
xc7vx415t_CIVffg1158-3,virtex7,Virtex-7,virtex7,0x03685093,xc7vx415t_CIV
xc7vx415t_CIVffg1927-2,virtex7,Virtex-7,virtex7,0x03685093,xc7vx415t_CIV
xc7vx415t_CIVffg1927-2L,virtex7,Virtex-7,virtex7,0x03685093,xc7vx415t_CIV
xc7vx415t_CIVffg1927-3,virtex7,Virtex-7,virtex7,0x03685093,xc7vx415t_CIV
xc7vx415t_CIVffv1157-2,virtex7,Virtex-7,virtex7,0x03685093,xc7vx415t_CIV
xc7vx415t_CIVffv1157-2L,virtex7,Virtex-7,virtex7,0x03685093,xc7vx415t_CIV
xc7vx415t_CIVffv1157-3,virtex7,Virtex-7,virtex7,0x03685093,xc7vx415t_CIV
xc7vx415t_CIVffv1158-2,virtex7,Virtex-7,virtex7,0x03685093,xc7vx415t_CIV
xc7vx415t_CIVffv1158-2L,virtex7,Virtex-7,virtex7,0x03685093,xc7vx415t_CIV
xc7vx415t_CIVffv1158-3,virtex7,Virtex-7,virtex7,0x03685093,xc7vx415t_CIV
xc7vx415t_CIVffv1927-2,virtex7,Virtex-7,virtex7,0x03685093,xc7vx415t_CIV
xc7vx415t_CIVffv1927-2L,virtex7,Virtex-7,virtex7,0x03685093,xc7vx415t_CIV
xc7vx415t_CIVffv1927-3,virtex7,Virtex-7,virtex7,0x03685093,xc7vx415t_CIV
xc7v585tffg1761-1,virtex7,Virtex-7,virtex7,0x03671093,xc7v585t
xc7v585tffg1761-2,virtex7,Virtex-7,virtex7,0x03671093,xc7v585t
xc7v585tffg1761-2L,virtex7,Virtex-7,virtex7,0x03671093,xc7v585t
xc7v585tffg1761-3,virtex7,Virtex-7,virtex7,0x03671093,xc7v585t
xc7v585tffg1157-1,virtex7,Virtex-7,virtex7,0x03671093,xc7v585t
xc7v585tffg1157-2,virtex7,Virtex-7,virtex7,0x03671093,xc7v585t
xc7v585tffg1157-2L,virtex7,Virtex-7,virtex7,0x03671093,xc7v585t
xc7v585tffg1157-3,virtex7,Virtex-7,virtex7,0x03671093,xc7v585t
xc7vx550tffg1158-1,virtex7,Virtex-7,virtex7,0x03692093,xc7vx550t
xc7vx550tffg1158-2,virtex7,Virtex-7,virtex7,0x03692093,xc7vx550t
xc7vx550tffg1158-2L,virtex7,Virtex-7,virtex7,0x03692093,xc7vx550t
xc7vx550tffg1158-3,virtex7,Virtex-7,virtex7,0x03692093,xc7vx550t
xc7vx550tffg1927-1,virtex7,Virtex-7,virtex7,0x03692093,xc7vx550t
xc7vx550tffg1927-2,virtex7,Virtex-7,virtex7,0x03692093,xc7vx550t
xc7vx550tffg1927-2L,virtex7,Virtex-7,virtex7,0x03692093,xc7vx550t
xc7vx550tffg1927-3,virtex7,Virtex-7,virtex7,0x03692093,xc7vx550t
xc7vx550t_CIVffg1158-1,virtex7,Virtex-7,virtex7,0x03693093,xc7vx550t_CIV
xc7vx550t_CIVffg1158-2,virtex7,Virtex-7,virtex7,0x03693093,xc7vx550t_CIV
xc7vx550t_CIVffg1158-2L,virtex7,Virtex-7,virtex7,0x03693093,xc7vx550t_CIV
xc7vx550t_CIVffg1158-3,virtex7,Virtex-7,virtex7,0x03693093,xc7vx550t_CIV
xc7vx550t_CIVffg1927-1,virtex7,Virtex-7,virtex7,0x03693093,xc7vx550t_CIV
